KodeRute,NamaRute,API_URL
JAK-18,Stasiun Kalibata - Kuningan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-18&transportType=transjakarta
JAK-19,Pinang Ranti - Setu,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-19&transportType=transjakarta
JAK-20,Lubang Buaya - Cawang UKI,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-20&transportType=transjakarta
JAK-21,PGC - Dwikora,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-21&transportType=transjakarta
JAK-22,Penas Kalimalang - Dwikora,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-22&transportType=transjakarta
JAK-24,Senen - Pulogadung via Kelapa Gading,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-24&transportType=transjakarta
JAK-25,Kalisari - Pasar Rebo,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-25&transportType=transjakarta
JAK-26,Rawamangun - Duren Sawit,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-26&transportType=transjakarta
JAK-27,Pulogebang - Rorotan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-27&transportType=transjakarta
JAK-28,Taman Wiladatika - Pasar Rebo,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-28&transportType=transjakarta
JAK-29,Tanjung Priok - Semper,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-29&transportType=transjakarta
JAK-30,Citraland - Meruya,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-30&transportType=transjakarta
JAK-31,Pondok Labu - Blok M,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-31&transportType=transjakarta
JAK-32,Petukangan - Lebak Bulus,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-32&transportType=transjakarta
JAK-33,Pulogadung - Kota,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_OK-33&transportType=transjakarta
JAK-34,Rawamangun - Klender,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-34&transportType=transjakarta
JAK-35,Rawamangun - Pangkalan Jati,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.35&transportType=transjakarta
JAK-36,Cilangkap - Cililitan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-36&transportType=transjakarta
JAK-37,Cililitan - Condet via Kayu Manis,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-37&transportType=transjakarta
JAK-38,Bulak Ringin - Kampung Rambutan,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-38&transportType=transjakarta
JAK-39,Duren Sawit - Kalimalang,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-39&transportType=transjakarta
JAK-40,Pulogebang - Taman Harapan Baru,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK-40&transportType=transjakarta
JAK-41,Kampung Melayu - Pulogadung,https://www.trafi.com/api/schedules/jakarta/schedule?scheduleId=idjkb_JAK.41&transportType=transjakarta
